ArrayExpress.Accession	PubMed.ID	ForeName LastName	order
E-GEOD-56127	25061210	Satoru Senju	7
E-GEOD-56127	25061210	Yasuharu Nishimura	8
E-GEOD-56127	25061210	Jeffrey H Chuang	9
E-GEOD-56127	25061210	Susan L Ackerman	10
E-GEOD-57147	25079327	Margarida A Santos	1
E-GEOD-57147	25079327	Robert B Faryabi	2
E-GEOD-57147	25079327	Aysegul V Ergen	3
E-GEOD-57147	25079327	Amanda M Day	4
E-GEOD-57147	25079327	Amy Malhowski	5
E-GEOD-57147	25079327	Andres Canela	6
E-GEOD-57147	25079327	Masahiro Onozawa	7
E-GEOD-57147	25079327	Ji-Eun Lee	8
E-GEOD-57147	25079327	Elsa Callen	9
E-GEOD-57147	25079327	Paula Gutierrez-Martinez	10
E-GEOD-57147	25079327	Hua-Tang Chen	11
E-GEOD-57147	25079327	Nancy Wong	12
E-GEOD-57147	25079327	Nadia Finkel	13
E-GEOD-57147	25079327	Aniruddha Deshpande	14
E-GEOD-57147	25079327	Susan Sharrow	15
E-GEOD-57147	25079327	Derrick J Rossi	16
E-GEOD-57147	25079327	Keisuke Ito	17
E-GEOD-57147	25079327	Kai Ge	18
E-GEOD-57147	25079327	Peter D Aplan	19
E-GEOD-57147	25079327	Scott A Armstrong	20
E-GEOD-57147	25079327	André Nussenzweig	21
E-GEOD-57396	25002492	Ronan Quéré	1
E-GEOD-57396	25002492	Laetitia Saint-Paul	2
E-GEOD-57396	25002492	Virginie Carmignac	3
E-GEOD-57396	25002492	Romain Z Martin	4
E-GEOD-57396	25002492	Marie-Lorraine Chrétien	5
E-GEOD-57396	25002492	Anne Largeot	6
E-GEOD-57396	25002492	Arlette Hammann	7
E-GEOD-57396	25002492	Jean-Paul Pais de Barros	8
E-GEOD-57396	25002492	Jean-Noël Bastie	9
E-GEOD-57396	25002492	Laurent Delva	10
E-GEOD-57837	25124037	Fumito Hanihara-Tatsuzawa	1
E-GEOD-57837	25124037	Hanae Miura	2
